species,CA1,CA2,CA3,CA4,CA5
Daniellia pynaertii,-0.22023900304330685,0.5113367125134621,-0.5139527768145272,0.24492749029850128,0.05053774180381268
Dichapetalum NA,-0.1676357244685983,0.6446140937155506,-0.3473256053115024,-0.002189932228555325,0.4746873980526413
Heisteria parvifolia,-0.1933159944327478,0.4867837533594491,-0.2925825709110177,-0.06441981852222689,0.38008522129276695
Maprounea membranacea,-1.2655889505995497,-0.48652543380510943,-0.12872010118278018,0.1422314204967951,-0.06708077082744897
Markhamia tomentosa,0.345793788230741,-0.031047868153410856,0.5696017974954822,-0.21521389808919886,0.009533036615764762
Massularia acuminata,-0.15232760865480235,0.6216365702454244,-0.30497976483012335,-0.02111318585701489,0.4912778964916523
Milicia excelsa,0.7233533087527289,-0.40427346539999864,0.1659296421627376,-0.6072297466983322,-0.3983425479540193
Millettia laurentii,-0.35316948096140804,0.9142946531813659,0.3462184099234412,0.041522686496035036,0.3507174981062418
Olax NA,-0.17812194987018315,0.6825565297756905,-0.33472370418727293,-0.002007985739507812,0.5444574773154941
Picralima nitida,-0.3522656458788815,0.46291951506993273,-0.2649234684825383,0.04274473300304558,0.355943634703858
Xylopia aethiopica,-0.048942240194768005,1.411085553470312,-1.0158411365392772,1.1360894730693358,-1.4709006177318051
Anonidium mannii,0.17249042479827137,0.13732310710747564,-0.07675909428723889,-0.1458641026592662,0.4068920018683378
Cola acuminata,0.5291257043406452,0.9322518043422655,-0.7058390007055908,-0.1684925746072924,-0.49979049813082493
Garcinia kola,-0.16451413574580215,0.6497984106752276,-0.35740204866617786,0.008710182320794506,0.5195766756335938
Millettia NA,0.009118555265275483,0.21807663405081382,-0.25707620944207293,-0.29078344913566506,0.3963458145677858
Oncoba welwitschii,0.37636384505360926,-0.4012122707450041,0.32655991669001766,-0.0015217018426377576,-0.09822391811788073
Ricinodendron heudelotii,1.0241710416471825,-0.7861249105512297,0.3042690737189141,0.297241650386921,-0.2196086859791756
Rytigynia NA,-0.11247632025827975,1.4627174914411651,-0.9606534862628069,0.9986226843771937,-1.0866361765494097
Sclerocroton cornutus,0.31681866852094764,0.20251872529233006,0.020949349519221276,-0.09034782178531894,0.2616014220620074
Tetrapleura tetraptera,0.9735467575038738,-0.7316258975495821,0.281284507130921,0.38893858099298523,-0.06448167075898488
Uvaria NA,-0.17524018886712694,0.6654594938800221,-0.3485409934916161,-0.010621644173021326,0.4833539039833762
Vitex congolensis,0.35650540372422046,0.17485264597283012,-0.18393564668902054,-0.05491462315079671,0.6943399383793892
Zanthoxylum gilletii,0.23802829786739932,0.18791626487691215,-0.11502451063511013,-0.037141764285335256,-0.01371309503987512
Cola diversifolia,-0.1475680788722286,0.6570309073651873,-0.3203928289881035,-0.011904445977735871,0.49006617205996206
Dialium NA,-0.20774496531834413,0.7563508621754141,-0.3961800086053783,0.08743953746895339,0.3689229243485187
Dracaena mannii,0.5096693029092906,0.02733375267835884,0.15127448797931986,-0.12701988118449437,0.16096146567681185
Elaeis guineensis,0.6096161721382172,-0.05802420242853017,-0.005290898586722966,0.012722460611684284,0.08461661610852327
Ficus NA,-0.22138454296201343,0.704758161833379,-0.3524031368454883,-0.001289538659322748,0.45996713474521184
Fillaeopsis discophora,-1.4183853607567969,-0.7298352703824437,-0.05949703482927357,0.12128340394772172,-0.18605252362729344
Garcinia punctata,-0.3334616556710543,0.4621228792676606,-0.33095866505975785,-0.06720438850426366,0.4442192161999944
Symphonia globulifera,-0.14220813583474362,0.6085688634675349,-0.32700383746046763,-0.02806509492607403,0.4547056258880792
Alstonia congensis,0.32657887580589806,0.4943202805770378,-0.3203163158676229,-0.1607108453081139,-0.004230498790609159
Bikinia evrardii,-0.188899568642179,0.6316319838960976,-0.3429753736293061,-0.012955057020948478,0.4952160393369495
Cola gigantea,0.49297090144728617,-0.03590161502443491,-0.028256025680160578,-0.277902850345755,0.1901116309683482
