Temperament;plot_ref;Proportion;Type_Proportion;Type_subdivision
héliophile non pionnière;Modele_2406_Principal;16,622691292876;ind.rel;3
tolérante à l'ombrage;Modele_2406_Principal;74,1424802110818;ind.rel;3
héliophile;Modele_4301_Principal;11,9718309859155;ind.rel;3
héliophile non pionnière;Modele_4301_Principal;22,1830985915493;ind.rel;3
tolérante à l'ombrage;Modele_4301_Principal;65,8450704225352;ind.rel;3
héliophile;Modele_4402_Principal;16,304347826087;ind.rel;3
héliophile non pionnière;Modele_4402_Principal;10,5072463768116;ind.rel;3
tolérante à l'ombrage;Modele_4402_Principal;73,1884057971015;ind.rel;3
héliophile;Modele_4503_Principal;24,9027237354086;ind.rel;3
héliophile non pionnière;Modele_4503_Principal;40,0778210116732;ind.rel;3
tolérante à l'ombrage;Modele_4503_Principal;35,0194552529183;ind.rel;3
héliophile;Modele_MA_lidar_205_principal;4,90463215258856;ind.rel;3
héliophile non pionnière;Modele_MA_lidar_205_principal;26,158038147139;ind.rel;3
tolérante à l'ombrage;Modele_MA_lidar_205_principal;68,9373297002725;ind.rel;3
héliophile;PARAP_Gungu_5;29,5983086680761;ind.rel;3
héliophile non pionnière;PARAP_Gungu_5;32,3467230443975;ind.rel;3
tolérante à l'ombrage;PARAP_Gungu_5;38,0549682875264;ind.rel;3
héliophile;PARAP_Idiofa_6;21,7582417582418;ind.rel;3
héliophile non pionnière;PARAP_Idiofa_6;47,6923076923077;ind.rel;3
tolérante à l'ombrage;PARAP_Idiofa_6;30,5494505494506;ind.rel;3
héliophile;PARAP_Luhudi_5;40,2277039848197;ind.rel;3
héliophile non pionnière;PARAP_Luhudi_5;33,7760910815939;ind.rel;3
tolérante à l'ombrage;PARAP_Luhudi_5;25,9962049335863;ind.rel;3
héliophile;PARAP_Lukolela_53;13,3484162895928;ind.rel;3
héliophile non pionnière;PARAP_Lukolela_53;7,69230769230769;ind.rel;3
tolérante à l'ombrage;PARAP_Lukolela_53;78,9592760180996;ind.rel;3
héliophile;PARAP_Mampulu_28;18,7984496124031;ind.rel;3
héliophile non pionnière;PARAP_Mampulu_28;29,6511627906977;ind.rel;3
tolérante à l'ombrage;PARAP_Mampulu_28;51,5503875968992;ind.rel;3
héliophile;PARAP_Mangai_16;17,2774869109948;ind.rel;3
héliophile non pionnière;PARAP_Mangai_16;9,16230366492147;ind.rel;3
tolérante à l'ombrage;PARAP_Mangai_16;73,5602094240838;ind.rel;3
héliophile;PARAP_Maniema_178;14,8984198645598;ind.rel;3
héliophile non pionnière;PARAP_Maniema_178;24,6049661399549;ind.rel;3
tolérante à l'ombrage;PARAP_Maniema_178;60,4966139954853;ind.rel;3
héliophile;PARAP_Mashambio_26;2,06794682422452;ind.rel;3
héliophile non pionnière;PARAP_Mashambio_26;74,8892171344166;ind.rel;3
tolérante à l'ombrage;PARAP_Mashambio_26;23,0428360413589;ind.rel;3
héliophile;PARAP_SwaKibula_234;28,9473684210526;ind.rel;3
héliophile non pionnière;PARAP_SwaKibula_234;21,3450292397661;ind.rel;3
tolérante à l'ombrage;PARAP_SwaKibula_234;49,7076023391813;ind.rel;3
héliophile;WWF-DIAF_07_01_Principal;23,2365145228216;ind.rel;3
héliophile non pionnière;WWF-DIAF_07_01_Principal;53,941908713693;ind.rel;3
tolérante à l'ombrage;WWF-DIAF_07_01_Principal;22,8215767634855;ind.rel;3
